id,brand,title,slug,category,subcategory,imageCount,availableLocalSlugMatches,needsExternalImages,colors,hasColorVariant,imageSource,imageSourceUrl
"prod_hockey_skate_001","Bauer","BAUER VAPOR FLYLITE Skate Senior","bauer-vapor-flylite-skate-senior","Skates","Hockey Skates","6","6","false","","false","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-vapor-flylite-senior-hockey-skates"
"prod_hockey_stick_002","Bauer","BAUER VAPOR HYPERLITE 2 Red Stick Senior","bauer-vapor-hyperlite-2-red-stick-senior","Sticks","Composite Sticks","4","4","true","","false","Sports Excellence Bauer product listing","https://sportsexcellence.com/products/bauer-vapor-hyperlite-2-hockey-stick-red-senior"
"prod_hockey_glove_003","Warrior","Warrior Covert QR7 Pro Senior Hockey Gloves","warrior-covert-qr7-pro-senior-hockey-gloves","Protective","Hockey Gloves","6","6","false","Black|Black/Red|Navy","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/warrior-covert-qr7-pro-senior-hockey-gloves"
"prod_helmet_004","CCM","CCM Tacks 720 Helmet Senior","ccm-tacks-720-helmet-senior","Protective","Helmets","5","5","false","Black|White|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-tacks-720-hockey-helmet"
"prod_protective_005","CCM","CCM Jetspeed FT8 Pro Shoulder Pads Senior","ccm-jetspeed-ft8-pro-shoulder-pads-senior","Protective","Shoulder Pads","6","6","false","","false","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-jetspeed-ft8-pro-senior-hockey-shoulder-pads"
"prod_goalie_006","CCM","CCM EFLEX 7.9 Goalie Pads Senior","ccm-eflex-7-9-goalie-pads-senior","Goalie","Goalie Pads","5","5","false","White|White/Navy|White/Black","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-extreme-flex-e7-9-senior-goalie-leg-pads"
"prod_goalie_007","CCM","CCM EFLEX 7 Goalie Glove Senior","ccm-eflex-7-goalie-glove-senior","Goalie","Goalie Gloves","4","4","true","White","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-extreme-flex-7-senior-goalie-catcher-pro-palm"
"prod_figure_skate_008","Jackson","Jackson Ultima Freestyle Fusion FS2192 Figure Skates","jackson-ultima-freestyle-fusion-fs2192-figure-skates","Skates","Figure Skates","5","5","false","","false","Jackson Ultima official product page","https://jacksonultima.com/products/freestyle-2192"
"prod_boot_009","Edea","Edea Ice Fly Figure Skating Boot","edea-ice-fly-figure-skating-boot","Skates","Figure Boots","4","4","true","","false","Skates US product page","https://skatesus.com/product/edea-ice-fly-figure-skating-boot/"
"prod_blade_010","Jackson","Jackson Ultima Matrix Legacy Figure Skate Blades","jackson-ultima-matrix-legacy-figure-skate-blades","Accessories","Figure Blades","5","5","false","","false","Jackson Ultima official product page","https://jacksonultima.com/products/matrix-legacy-1"
